ID,Character Name,Refresh,Auto Next,Dialogue
0,拓,TRUE,FALSE,哼～哼～～哼～哼～哼～～～
1,涅,TRUE,FALSE,早安
2,拓,TRUE,FALSE,涅，早安，快吃吧，今天第一天別遲到了。
3,涅,TRUE,FALSE,嗯，知道了。
4,null,TRUE,TRUE,null
5,拓,TRUE,FALSE,那個，涅，你知道今天是什麼日子嗎？
6,涅,TRUE,FALSE,今天……不就是開學的日子嗎？
7,拓,TRUE,FALSE,是啊，今天是開學的日子，但也是你住進來這個家滿一年的日子喔！
8,OS,TRUE,FALSE,涅一邊吃著蛋捲，似懂似無地點點頭。
9,拓,TRUE,FALSE,等你下課回來有驚喜等你喔，今天上課要乖乖地知道嗎？
10,涅,TRUE,FALSE,好。
11,拓,TRUE,FALSE,吃飽就趕緊出門吧，需要我陪你去學校嗎？
12,OS,TRUE,FALSE,涅遲疑一下後搖了搖頭。
13,涅,TRUE,FALSE,我自己去就可以了，謝謝ㄋ…謝謝拓。
14,拓,TRUE,FALSE,還不習慣叫我拓沒關係，慢慢來就好。那涅你路上小心呀。
15,涅,TRUE,FALSE,好的，掰掰
16,拓,TRUE,FALSE,等等！涅，你忘了很重要的一件事！
17,涅,TRUE,FALSE,咦？甚麼事？
18,拓,TRUE,FALSE,把口罩戴起來，不然的話……
19,涅,TRUE,FALSE,不然的話……？
20,拓,TRUE,FALSE,……
21,涅,TRUE,FALSE,……
22,拓,TRUE,FALSE,就給我呆在家，不准出門群聚！
23,涅,TRUE,FALSE,……
24,拓,TRUE,FALSE,……
25,涅,TRUE,FALSE,……這台詞誰想的啊！？
26,拓,TRUE,FALSE,請你去問作者啊！
27,涅,TRUE,FALSE,不過，拓可真是好騙啊，這樣你要怎麼保護心愛的我呢！？
28,拓,TRUE,FALSE,什…什麼！?
29,涅,TRUE,FALSE,6/14之前全台因為疫情停課，現在都用遠端教學呢
30,OS,TRUE,FALSE,涅坐回餐桌的位置，並且從書包拿出筆電，動作看起來非常熟練、相當流暢。
31,拓,TRUE,FALSE,對…對齁，還有這回事…
32,涅,TRUE,FALSE,而且現在三級防疫，除非必要，不然就要盡量待在室內。
33,涅,FALSE,FALSE,室內集會也不能超過五個人，所以就算不出門也是有群聚的風險啊！
34,拓,TRUE,FALSE,我錯了…我去幫你拿養樂多賠罪…
35,涅,TRUE,FALSE,好在我的聰明才智，不然就要走向BE了呢。
36,拓,FALSE,FALSE,我看一下遠端教學用…
37,拓,TRUE,FALSE,不過這樣對話下來...玩家也沒有選擇的機會，自然也沒有HE或BE的問題啊。
38,涅,TRUE,FALSE,所以防疫無聊的話，歡迎在螢幕前的你來催促那些製作團隊的傢伙們生進度喔<3
39,OS,TRUE,FALSE,防疫期間請注意你我安全距離，沒事別出門，出門記得戴好口罩。
40,OS,FALSE,FALSE,不要擔心我們，一直都有進度只是做很慢，大家還敬請期待後續消息喔>_O+
41,OS,FALSE,FALSE,#好家在我在家
