ID,Character Name,Refresh,Auto Next,Dialogue,BG,BGM,SFX,CGData,Filter,Item
0,null,TRUE,TRUE,null,null,null,null,null,null,null
1,涅,TRUE,FALSE,早安。,null,null,null,null,null,null
2,拓,TRUE,FALSE,涅，早安，快吃吧，今天第一天別遲到了。,null,null,null,null,null,null
3,涅,TRUE,FALSE,嗯，知道了。,null,null,null,null,null,null
4,null,TRUE,TRUE,null,null,null,SFX_Stage_Dining_1,null,null,null
5,拓,TRUE,FALSE,那個，涅，你知道今天是甚麼日子嗎？,null,null,null,null,null,null
6,涅,TRUE,FALSE,今天……不就是開學的日子嗎？,null,null,null,null,null,null
7,拓,TRUE,FALSE,是啊，今天是開學的日子，但也是你住進來這個家滿一年的日子喔！,null,null,null,null,null,null
8,OS,TRUE,FALSE,涅只是似懂非懂地點點頭。,null,null,null,null,null,null
9,OS,TRUE,FALSE,看見涅有點困惑的表情，我伸手摸了摸涅的頭。,null,null,null,null,null,null
10,OS,TRUE,FALSE,看來涅跟剛搬進來時相比變得比較自在了。,null,null,null,null,null,null
11,拓,TRUE,FALSE,涅，你還記得你第一天來到這個家的事情嗎？,null,null,null,null,null,null
12,OS,TRUE,FALSE,涅點了點頭。,null,null,null,null,null,null
13,拓,TRUE,FALSE,你還記得那天我們有一起拍張照嗎？,null,null,null,null,null,null
14,null,TRUE,TRUE,null,null,null,null,null,null,null
15,拓,TRUE,FALSE,只是我不知道把他夾進哪本書裡了…,null,null,null,null,null,null
16,null,TRUE,TRUE,null,null,null,翻找櫃子,null,null,null
17,涅,TRUE,FALSE,要是能有本相簿可以把我們的照片都收進去就好了。,null,null,null,null,null,null
18,拓,TRUE,FALSE,說的也是呢。,null,null,null,null,null,null
19,null,TRUE,TRUE,null,null,null,坐下,null,null,null
20,null,TRUE,TRUE,null,null,null,SFX_Stage_Dining_1,null,null,null
21,拓,TRUE,FALSE,對了，等你下課回來有驚喜等你喔，今天上課要乖乖地知道嗎？,null,null,null,null,null,null
22,涅,TRUE,FALSE,好──,null,null,null,null,null,null
23,null,TRUE,TRUE,null,null,null,SFX_Stage_Dining_2,null,null,null
24,拓,TRUE,FALSE,吃飽就趕緊出門吧，需要我陪你去學校嗎？,null,null,null,null,null,null
25,OS,TRUE,FALSE,涅遲疑一下後，看著我搖了搖頭。,null,null,null,null,null,null
26,涅,TRUE,FALSE,我自己去就可以了，謝謝ㄋ……謝謝拓。,null,null,null,null,null,null
27,拓,TRUE,FALSE,還不習慣叫我拓沒關係，慢慢來就好。那涅你路上小心呀。,null,null,null,null,null,null
28,涅,TRUE,FALSE,好的，掰掰。,null,null,null,null,null,null
29,OS,TRUE,FALSE,背好書包後，涅向我揮揮手後便出門了。雖然說還是有點擔心他，但既然他決定自己去上學，我還是讓他自己去了。,null,null,null,null,null,null
30,null,TRUE,TRUE,null,null,BGM_Mute,null,null,null,null
31,拓,TRUE,FALSE,好……來做晚餐的準備吧。,null,null,null,null,null,null
32,拓,FALSE,FALSE,雞蛋、酵母、鮮奶……希望這次的麵團不會再失敗。,null,null,SFX_Stage_FridgeOpen,null,null,null
33,OS,TRUE,FALSE,涅去上學後，我也該開始動工了，該開始製作晚上的生日料理了。,null,null,null,null,null,null
34,OS,FALSE,FALSE,先揉捏麵團到形狀出來後，再靜置等麵糰發酵。,null,null,null,null,null,null
35,OS,FALSE,FALSE,接著再將麵團切塊、桿成麵條狀下鍋開始煮，同時間我順便把蘿蔔和黃瓜細切成絲。,null,null,null,null,null,null
36,OS,FALSE,FALSE,就這樣專注地忙了一陣子之後，不知不覺也算料理到一個段落。,null,null,null,null,null,null
37,拓,TRUE,FALSE,這次應該算成功吧……等等還得去買點東西才行……,null,null,null,null,null,null
38,拓,FALSE,TRUE,null,null,null,SFX_Stage_Undress_02,null,null,null
39,拓,FALSE,FALSE,對了，還有涅的禮物。,null,null,null,null,null,null
40,拓,FALSE,FALSE,希望涅會喜歡今天的安排。,null,null,null,null,null,null
